"Table KS209EW","","","","","","","","","","","","",""
"2011 Census: Religion, unitary authorities in Wales","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Wales","","","","","","","","","","","","",""
"Unitary authorities in Wales","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"All usual residents","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Area code","Area name","","","All categories: Religion","Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Other religion","No religion","Religion not stated"
"","","","","Persons","Persons","Persons","Persons","Persons","Persons","Persons","Persons","Persons","Persons"
"","","","","Number","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage","Percentage"
"","","","","","","","","","","","","",""
"W92000004","WALES","","","3063456.0","57.6","0.3","0.3","0.1","1.5","0.1","0.4","32.1","7.6"
"","","","","","","","","","","","","",""
"W06000001","","","Isle of Anglesey","69751.0","65.1","0.2","0.1","0.1","0.4","0.1","0.4","25.5","8.2"
"W06000002","","","Gwynedd","121874.0","59.5","0.3","0.2","0.0","1.1","0.0","0.5","29.7","8.6"
"W06000003","","","Conwy","115228.0","64.7","0.3","0.2","0.1","0.5","0.0","0.4","26.1","7.8"
"W06000004","","","Denbighshire","93734.0","64.1","0.3","0.2","0.0","0.5","0.0","0.4","26.8","7.7"
"W06000005","","","Flintshire","152506.0","66.4","0.2","0.1","0.0","0.3","0.0","0.2","25.4","7.2"
"W06000006","","","Wrexham","134844.0","63.5","0.3","0.4","0.0","0.6","0.1","0.2","27.4","7.5"
"W06000023","","","Powys","132976.0","61.8","0.4","0.2","0.1","0.2","0.0","0.6","27.9","8.8"
"W06000008","","","Ceredigion","75922.0","57.9","0.5","0.3","0.1","0.7","0.0","1.0","30.7","8.8"
"W06000009","","","Pembrokeshire","122439.0","63.0","0.3","0.2","0.0","0.3","0.0","0.5","27.3","8.2"
"W06000010","","","Carmarthenshire","183777.0","61.8","0.2","0.2","0.0","0.3","0.1","0.5","28.9","8.0"
"W06000011","","","Swansea","239023.0","55.0","0.4","0.3","0.1","2.3","0.1","0.4","34.0","7.5"
"W06000012","","","Neath Port Talbot","139812.0","57.7","0.2","0.1","0.0","0.4","0.1","0.4","33.8","7.3"
"W06000013","","","Bridgend ","139178.0","55.1","0.3","0.2","0.0","0.4","0.0","0.4","36.7","7.0"
"W06000014","","","The Vale of Glamorgan","126336.0","58.1","0.3","0.2","0.1","0.6","0.1","0.4","32.9","7.4"
"W06000015","","","Cardiff","346090.0","51.4","0.5","1.4","0.2","6.8","0.4","0.4","31.8","7.2"
"W06000016","","","Rhondda Cynon Taf","234410.0","50.5","0.2","0.2","0.0","0.5","0.1","0.4","40.8","7.4"
"W06000024","","","Merthyr Tydfil","58802.0","56.0","0.2","0.1","0.0","0.3","0.1","0.4","35.8","7.0"
"W06000018","","","Caerphilly","178806.0","50.7","0.2","0.1","0.0","0.2","0.1","0.4","40.9","7.5"
"W06000019","","","Blaenau Gwent","69814.0","49.9","0.2","0.1","0.0","0.3","0.1","0.4","41.1","8.1"
"W06000020","","","Torfaen","91075.0","55.4","0.2","0.3","0.0","0.3","0.1","0.3","35.8","7.6"
"W06000021","","","Monmouthshire","91323.0","62.5","0.3","0.2","0.1","0.3","0.1","0.4","28.5","7.7"
"W06000022","","","Newport","145736.0","56.9","0.2","0.5","0.1","4.7","0.1","0.3","29.7","7.5"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Source: Office for National Statistics","","","","","","","","","","","","",""
