what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333293045021
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333293046630
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333293777197
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333293779241
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333293783100
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1333293787376
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333293961673
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1333293963187
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1333293964193
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1333293973244
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333293974501
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333293975741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333293977421
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333293979367
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1333293986501
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333293988027
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333293988343
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333293989619
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333293990791
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1333293998100
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294000028
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294000231
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294001487
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294034493
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294053522
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333294056036
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333294058665
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294080332
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294083132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294090538
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1333294090556
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333294096790
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1333294104464
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1333294107512
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294108033
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294110464
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294112942
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294113669
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294120496
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1333294120517
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333294125524
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333294134294
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333294135813
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294174258
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294195255
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294201201
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1333294205459
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294208336
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294208584
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294209756
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294211918
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294213354
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294215441
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294275762
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1333294277071
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294283613
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294414667
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294417693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294421280
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333294496318
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294514659
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294528748
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294565448
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1333294568043
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1333294569650
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294570510
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1333294572633
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1333294574655
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294575564
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294580113
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294592733
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294602764
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294624848
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1333294631198
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1333294632779
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1333294633376
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1333294637926
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1333294639422
